school,major,name,keyword1,keword2,keword3,,,branch,region
성균관대학교(자연과학),기초의학교실,이승원,디지털 헬스케어,의료 빅데이터,차세대 의료,,,의료,경기
가천대학교,기초의학,김광민,Brain imaging,Human in vitro brain,Image processing,,,의료,경기
울산대학교,기초의학교실,장수환,,,,,,의료,경상
강원대학교,임상의학교실,홍석호,,,,,,의료,강원
건국대학교,수의학과,김시윤,세포칩,센서/조직공학,3D 프린팅,,,의료,서울
경북대학교,기초치의학교실,김도연,노화,신경줄기세포,암,,,의료,경상
중앙대학교,임상의학교실,김지택,당뇨망막증,망막,유전자전달,,,의료,서울
한림대학교,의학과,유승진,,,,,,의료,강원
가천대학교,한의학과,김창업,,,,,,의료,경기
대구가톨릭대학교,의학과,홍재우,,,,,,의료,경상
단국대학교,의학과,임남규,저흉처,창상치유,,,,의료,경기
순청향대학교,의학과,최동식,엑소좀,프로테오믹스,,,,의료,충청
서울대학교,의학과,방예지,Pathogen,Microbiology,Microbiota,,,의료,서울
제주대학교,의학과,김진우,,,,,,의료,제주
제주대학교,의학과,김의태,viral vector,innate immunity,molecular virology,,,의료,제주
차의과학대학교,임상의학교실,유준환,,,,,,의료,경기
아주대학교,의학과,김태준,딥러닝,뇌전증,수면질환,,,의료,경기
경희대학교(국제),의학과,김만석,의료인공지능,멀티오믹스,Bioinformatics,,,의료,서울
경희대학교(국제),의학과,이윤성,Leukemia,Disease Model,Zebrafish,,,의료,서울
전북대학교,수의학과,조호성,ASF,FMD,Zoonosis,,,의료,전라
경북대학교,의료정보학교실,정성문,Deep Learning,Medical Informatics,Cognitive Hospital,,,의료,경상
UNIST,물리학과,김재업,기계학습,나노구조,딥러닝,,,물리,경상
UNIST,물리학과,김대식,나노 광학,나노 안테나,나노갭,,,물리,경상
UNIST,물리학과,권우진,보즈-아인슈타인 응집,원자 초유체,극저온 양자 기체,,,물리,경상
연세대학교,물리학과,김재훈,2차원 자성,마그논,다강체,,,물리,서울
연세대학교,물리학과,오경환,고기능성물질활용한 초고송광펄스생성,광유체역학,광히집게와 광학수송,,,물리,서울
POSTECH,물리학과,이길호,quantum devide,,,,,물리,경상
GIST,물리광과학과,신동빈,QEDDFT,ab initio development,Light-matter interaction,,,물리,전라
부산대학교,물리학과,이재광,density functional calculations,molecular dynamics simulations,,,,물리,부산
중앙대학교,물리학과,서재민,강화학습,시뮬레이션,플라즈마,,,물리,서울
충남대학교,물리학과,전민용,Fiber optics,Fiber Lasers,Photonics,,,물리,충청
인하대학교,물리학과,최민석,2D 물질,반도체 ,고체물질이론,,,물리,인천
인하대학교,물리학과,유석재,양자물질,나노포토닉스,광학,,,물리,인천
경상국립대학교,물리학과,정성원,MBE,LEED,vdW crystals,,,물리,경상
KAIST,물리학,조성재,nano device,quantum transport,topological phenomena,,,물리,충청
KAIST,물리학,김은성,,,,,,물리,충청
공주대학교,데이터정보물리학과,이욱재,광집적소자,단일광자,포노닉스,,,물리,충청
서울대학교,생명과학부,이은주,기후변화 예측,생태학,외래식물,,,생명,서울
서울대학교,생명과학부,장혜식,RNA,데이터사이언스,바이러스 에어로졸,,,생명,서울
서울대학교,생명과학부,마틴 스타이네거,algorithms,bioinformatics,Machine Learning,,,생명,서울
